,Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
110,,,,P.S. 050 VITO MARCANTONIO,310400010050,04M050,4,40.785868,-73.940587,"433 E 100TH ST NEW YORK, NY 10029",NEW YORK,10029,"0K,01,02,03,04,05,06,07,08",0K,8,Yes,0.89,30295.44,0.87,0.49,0.87,Approaching Target,0.74,Not Meeting Target,0.89,,0.67,Approaching Target,0.79,Approaching Target,0.84,Approaching Target,Approaching Target,2.1,2.07
114,,,,P.S. 096 JOSEPH LANZETTA,310400010096,04M096,4,40.799987,-73.937388,"216 E 120TH ST NEW YORK, NY 10035",NEW YORK,10035,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.902,25392.85,0.91,0.37,0.88,Approaching Target,0.85,Meeting Target,0.89,Meeting Target,0.77,Approaching Target,0.77,Not Meeting Target,0.88,Approaching Target,Meeting Target,2.17,2.03
117,,,,P.S. 146 ANN M. SHORT,310400010146,04M146,4,40.7897,-73.939094,"421 E 106TH ST NEW YORK, NY 10029",NEW YORK,10029,"PK,0K,01,02,03,04,05",PK,5,No,0.903,29414.74,0.92,0.29,0.77,Approaching Target,0.71,Approaching Target,0.8,Approaching Target,0.65,Approaching Target,0.9,Meeting Target,0.84,Meeting Target,Meeting Target,2.14,2.19
118,,,,P.S. 155 WILLIAM PACA,310400010155,04M155,4,40.797495,-73.936193,"319 E 117TH ST NEW YORK, NY 10035",NEW YORK,10035,"PK,0K,01,02,03,04,05",PK,5,No,0.902,27577.94,0.93,0.25,0.84,Approaching Target,0.79,Approaching Target,0.91,Meeting Target,0.74,Approaching Target,0.85,Meeting Target,0.79,Approaching Target,Meeting Target,2.16,2.17
123,,,,ESPERANZA PREPARATORY ACADEMY,310400010372,04M372,4,40.79259,-73.942119,"240 E 109TH ST NEW YORK, NY 10029",NEW YORK,10029,"06,07,08,09,10,11,12",6,12,No,0.836,,0.91,0.35,0.87,Exceeding Target,0.77,Approaching Target,0.84,Meeting Target,0.72,Approaching Target,0.77,Approaching Target,0.85,Approaching Target,Meeting Target,2.19,2.08
124,,,,MOSAIC PREPARATORY ACADEMY,310400010375,04M375,4,40.796046,-73.944549,"141 E 111TH ST NEW YORK, NY 10029",NEW YORK,10029,"PK,0K,01,02,03,04,05",PK,5,No,0.917,29237.2,0.92,0.27,0.89,Meeting Target,0.86,Exceeding Target,0.89,Meeting Target,0.75,Approaching Target,0.86,Meeting Target,0.86,Approaching Target,Meeting Target,2.23,2.25
129,,,,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,310400010825,04M825,4,40.794167,-73.932694,"260 PLEASANT AVE NEW YORK, NY 10029",NEW YORK,10029,"06,07,08,SE",6,8,No,0.842,,0.93,0.23,0.84,Approaching Target,0.87,Approaching Target,0.85,Meeting Target,0.84,Meeting Target,0.8,Meeting Target,0.92,Meeting Target,Meeting Target,2.24,2.15
133,,,,P.S. 046 ARTHUR TAPPAN,310500010046,05M046,5,40.831496,-73.936154,"2987 FREDERICK DOUGLAS BLVD NEW YORK, NY 10039",NEW YORK,10039,"PK,0K,01,02,03,04,05,06",PK,6,No,0.903,23035.78,0.9,0.39,0.91,Meeting Target,0.89,Meeting Target,0.85,Meeting Target,0.81,Meeting Target,0.8,Approaching Target,0.9,Meeting Target,Approaching Target,2.19,2.19
134,,,,P.S. 092 MARY MCLEOD BETHUNE,310500010092,05M092,5,40.814949,-73.945808,"222 W 134TH ST NEW YORK, NY 10030",NEW YORK,10030,"PK,0K,01,02,03,04,05",PK,5,No,0.897,32865.04,0.9,0.37,0.87,Approaching Target,0.88,Approaching Target,0.91,Meeting Target,0.78,Meeting Target,0.86,Meeting Target,0.9,Meeting Target,Approaching Target,2.2,2.22
135,,,,P.S. 123 MAHALIA JACKSON,310500010123,05M123,5,40.820192,-73.944457,"301 W 140TH ST NEW YORK, NY 10030",NEW YORK,10030,"PK,0K,01,02,03,04,05,06,07,08",PK,8,Yes,0.835,34752.53,0.88,0.49,0.83,Approaching Target,0.72,Approaching Target,0.84,Approaching Target,0.65,Not Meeting Target,0.82,Approaching Target,0.81,Approaching Target,Approaching Target,2.11,2.0
138,,,,P.S. 133 FRED R MOORE,310500010133,05M133,5,40.809663,-73.939148,"2121 5TH AVE NEW YORK, NY 10037",NEW YORK,10037,"PK,0K,01,02,03,04,05",PK,5,No,0.875,33344.03,0.91,0.34,0.84,Approaching Target,0.73,Approaching Target,0.76,Approaching Target,0.47,Not Meeting Target,0.76,Not Meeting Target,0.77,Approaching Target,Meeting Target,2.21,2.19
140,,,,P.S. 154 HARRIET TUBMAN,310500010154,05M154,5,40.810555,-73.948862,"250 W 127TH ST NEW YORK, NY 10027",NEW YORK,10027,"PK,0K,01,02,03,04,05",PK,5,Yes,0.899,28358.99,0.92,0.31,0.91,Approaching Target,0.87,Meeting Target,0.93,Meeting Target,0.79,Approaching Target,0.82,Approaching Target,0.85,Approaching Target,Approaching Target,2.15,2.16
142,,,,P.S. 175 HENRY H GARNET,310500010175,05M175,5,40.814259,-73.942662,"175 W 134TH ST NEW YORK, NY 10030",NEW YORK,10030,"PK,0K,01,02,03,04,05",PK,5,No,0.893,34273.8,0.91,0.39,0.93,Meeting Target,0.92,Meeting Target,0.91,Meeting Target,0.78,Meeting Target,0.84,Approaching Target,0.87,Approaching Target,Approaching Target,2.14,2.26
143,,,,P.S. 194 COUNTEE CULLEN,310500010194,05M194,5,40.821182,-73.940665,"244 W 144TH ST NEW YORK, NY 10030",NEW YORK,10030,"0K,01,02,03,04,05",0K,5,Yes,0.898,30519.96,0.9,0.47,0.91,Approaching Target,0.73,Approaching Target,0.94,Approaching Target,0.49,Not Meeting Target,0.87,Meeting Target,0.67,Not Meeting Target,Approaching Target,2.0,2.02
144,,,,P.S. 197 JOHN B. RUSSWURM,310500010197,05M197,5,40.813298,-73.937828,"2230 5TH AVE NEW YORK, NY 10037",NEW YORK,10037,"PK,0K,01,02,03,04,05",PK,5,No,0.874,34797.1,0.88,0.47,0.94,Approaching Target,0.92,Approaching Target,0.92,Approaching Target,0.92,Exceeding Target,0.92,Exceeding Target,0.95,Exceeding Target,Meeting Target,2.21,2.27
145,,,,P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,310500010200,05M200,5,40.823955,-73.935802,"2589 7TH AVE NEW YORK, NY 10039",NEW YORK,10039,"PK,0K,01,02,03,04,05",PK,5,No,0.892,34610.48,0.88,0.46,0.83,Approaching Target,0.88,Approaching Target,0.89,Approaching Target,0.81,Meeting Target,0.85,Meeting Target,0.92,Meeting Target,Approaching Target,2.12,2.13
146,,,,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,310500010286,05M286,5,40.815745,-73.9556,"509 W 129TH ST NEW YORK, NY 10027",NEW YORK,10027,"06,07,08",6,8,No,0.817,,0.87,0.42,0.92,Meeting Target,0.86,Meeting Target,0.9,Meeting Target,0.76,Approaching Target,0.78,Approaching Target,0.86,Approaching Target,Not Meeting Target,2.12,1.92
147,,,,KAPPA IV,310500010302,05M302,5,40.817282,-73.947238,"6 EDGECOMBE AVE NEW YORK, NY 10030",NEW YORK,10030,"06,07,08",6,8,No,0.852,,0.9,0.35,0.77,Approaching Target,0.81,Meeting Target,0.81,Approaching Target,0.69,Not Meeting Target,0.83,Meeting Target,0.84,Approaching Target,Approaching Target,2.16,1.89
151,,,,NEW DESIGN MIDDLE SCHOOL,310500010514,05M514,5,40.819764,-73.95724,"625 W 133RD ST NEW YORK, NY 10031",NEW YORK,10031,"06,07,08",6,8,No,0.881,,0.91,0.27,0.83,Approaching Target,0.79,Approaching Target,0.81,Meeting Target,0.75,Approaching Target,0.78,Approaching Target,0.87,Meeting Target,Approaching Target,2.08,1.94
155,,,,P.S. 005 ELLEN LURIE,310600010005,06M005,6,40.85892,-73.922428,"3703 10TH AVE NEW YORK, NY 10034",NEW YORK,10034,"0K,01,02,03,04,05",0K,5,No,0.851,29783.6,0.93,0.26,0.89,Meeting Target,0.86,Meeting Target,0.9,Meeting Target,0.68,Approaching Target,0.86,Meeting Target,0.89,Meeting Target,Approaching Target,2.11,2.28
164,,,,P.S. 132 JUAN PABLO DUARTE,310600010132,06M132,6,40.850543,-73.933933,"185 WADSWORTH AVE NEW YORK, NY 10033",NEW YORK,10033,"0K,01,02,03,04,05",0K,5,Yes,0.857,35210.09,0.95,0.14,0.87,Approaching Target,0.8,Approaching Target,0.9,Meeting Target,0.72,Approaching Target,0.85,Meeting Target,0.84,Approaching Target,Meeting Target,2.22,2.25
165,,,,J.H.S. 143 ELEANOR ROOSEVELT,310600010143,06M143,6,40.849099,-73.931106,"511 W 182ND ST NEW YORK, NY 10033",NEW YORK,10033,"06,07,08",6,8,No,0.849,,0.91,0.24,0.82,Approaching Target,0.83,Meeting Target,0.81,Meeting Target,0.78,Approaching Target,0.76,Approaching Target,0.86,Approaching Target,Meeting Target,2.12,2.06
175,,,,I.S. 218 SALOME URENA,310600010218,06M218,6,40.86082,-73.930066,"4600 BROADWAY NEW YORK, NY 10040",NEW YORK,10040,"06,07,08",6,8,No,0.84,,0.92,0.24,0.91,Approaching Target,0.81,Meeting Target,0.9,Meeting Target,0.75,Approaching Target,0.84,Meeting Target,0.89,Meeting Target,Approaching Target,2.09,2.09
181,,,,M.S. 319 - MARIA TERESA,310600010319,06M319,6,40.839408,-73.935772,"21 JUMEL PL NEW YORK, NY 10032",NEW YORK,10032,"06,07,08",6,8,No,0.838,,0.94,0.18,0.94,Exceeding Target,0.92,Exceeding Target,0.92,Exceeding Target,0.88,Meeting Target,0.88,Exceeding Target,0.93,Meeting Target,Meeting Target,2.22,2.29
182,,,,MIDDLE SCHOOL 322,310600010322,06M322,6,40.86082,-73.930066,"4600 BROADWAY NEW YORK, NY 10040",NEW YORK,10040,"06,07,08,SE",6,8,No,0.861,,0.93,0.23,0.8,Meeting Target,0.83,Meeting Target,0.86,Meeting Target,0.73,Approaching Target,0.9,Exceeding Target,0.89,Meeting Target,Meeting Target,2.13,2.22
184,,,,P.S. 325,310600010325,06M325,6,40.820988,-73.952995,"500 W 138TH ST NEW YORK, NY 10031",NEW YORK,10031,"0K,01,02,03,04,05",0K,5,No,0.864,40828.12,0.93,0.27,0.88,Approaching Target,0.88,Meeting Target,0.93,Meeting Target,0.78,Meeting Target,0.83,Approaching Target,0.91,Meeting Target,Approaching Target,2.14,2.19
185,,,,M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,310600010328,06M328,6,40.836912,-73.937412,"401 W 164TH ST NEW YORK, NY 10032",NEW YORK,10032,"06,07,08",6,8,No,0.834,,0.87,0.43,0.91,Meeting Target,0.87,Meeting Target,0.88,Approaching Target,0.86,Meeting Target,0.84,Meeting Target,0.9,Meeting Target,Approaching Target,1.98,1.97
188,,,,HARBOR HEIGHTS,310600010349,06M349,6,40.84562,-73.939738,"306 FORT WASHINGTON AVE-RM  414 NEW YORK, NY 10033",NEW YORK,10033,"06,07,08",6,8,No,0.878,,0.97,0.03,0.85,Meeting Target,0.93,Meeting Target,0.89,Exceeding Target,0.88,Meeting Target,0.85,Meeting Target,0.94,Meeting Target,Approaching Target,1.81,2.03
192,,,,I.S. 528 BEA FULLER RODGERS SCHOOL,310600010528,06M528,6,40.850676,-73.934697,"180 WADSWORTH AVE NEW YORK, NY 10033",NEW YORK,10033,"06,07,08",6,8,Yes,0.867,,0.95,0.14,0.82,Approaching Target,0.82,Approaching Target,0.91,Meeting Target,0.78,Approaching Target,0.85,Meeting Target,0.91,Meeting Target,Meeting Target,2.24,2.19
193,,,,P.S. 001 COURTLANDT SCHOOL,320700010001,07X001,7,40.819101,-73.91941,"335 E 152ND ST BRONX, NY 10451",BRONX,10451,"PK,0K,01,02,03,04,05",PK,5,No,0.915,23144.32,0.92,0.33,0.9,Meeting Target,0.89,Meeting Target,0.9,Meeting Target,0.78,Approaching Target,0.83,Meeting Target,0.91,Meeting Target,Approaching Target,2.19,2.23
194,,,,P.S. 5 PORT MORRIS,320700010005,07X005,7,40.813613,-73.908429,"564 JACKSON AVE BRONX, NY 10455",BRONX,10455,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.905,22754.7,0.91,0.36,0.9,Meeting Target,0.87,Meeting Target,0.81,Approaching Target,0.79,Meeting Target,0.82,Approaching Target,0.85,Approaching Target,Approaching Target,2.15,2.11
197,,,,P.S./M.S. 029 MELROSE SCHOOL,320700010029,07X029,7,40.821611,-73.916768,"758 COURTLANDT AVE BRONX, NY 10451",BRONX,10451,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.891,23911.23,0.91,0.35,0.9,Exceeding Target,0.91,Exceeding Target,0.92,Meeting Target,0.81,Meeting Target,0.84,Meeting Target,0.93,Meeting Target,Approaching Target,2.12,2.12
198,,,,P.S. 030 WILTON,320700010030,07X030,7,40.809065,-73.91752,"510 E 141ST ST BRONX, NY 10454",BRONX,10454,"PK,0K,01,02,03,04,05",PK,5,No,0.923,22281.39,0.9,0.4,0.87,Approaching Target,0.9,Meeting Target,0.91,Meeting Target,0.84,Meeting Target,0.9,Exceeding Target,0.91,Meeting Target,Approaching Target,2.09,2.15
199,,,,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,320700010031,07X031,7,40.822539,-73.921487,"250 E 156TH ST BRONX, NY 10451",BRONX,10451,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.878,28918.55,0.9,0.39,0.86,Approaching Target,0.86,Meeting Target,0.85,Approaching Target,0.79,Meeting Target,0.81,Approaching Target,0.89,Meeting Target,Approaching Target,2.09,2.04
202,,,,P.S. 065 MOTHER HALE ACADEMY,320700010065,07X065,7,40.807731,-73.912768,"677 E 141ST ST BRONX, NY 10454",BRONX,10454,"PK,0K,01,02,03,04,05",PK,5,No,0.957,22507.91,0.89,0.48,0.92,Meeting Target,0.88,Meeting Target,0.88,Approaching Target,0.82,Meeting Target,0.84,Approaching Target,0.91,Meeting Target,Approaching Target,2.06,2.12
203,,,,J.H.S. 151 LOU GEHRIG,320700010151,07X151,7,40.822539,-73.921487,"250 E 156TH ST BRONX, NY 10451",BRONX,10451,"06,07,08",6,8,No,0.89,,0.92,0.29,0.88,Meeting Target,0.9,Meeting Target,0.85,Meeting Target,0.78,Approaching Target,0.8,Meeting Target,0.9,Meeting Target,Meeting Target,2.1,1.98
207,,,,J.H.S. 162 LOLA RODRIGUEZ DE TIO,320700010162,07X162,7,40.814702,-73.912036,"600 ST ANNS AVE BRONX, NY 10455",BRONX,10455,"06,07,08",6,8,Yes,0.906,,0.89,0.39,0.92,Meeting Target,0.93,Meeting Target,0.85,Meeting Target,0.88,Meeting Target,0.82,Meeting Target,0.93,Meeting Target,Approaching Target,2.04,1.96
211,,,,P.S./I.S. 224,320700010224,07X224,7,40.810207,-73.91839,"345 BROOK AVE BRONX, NY 10454",BRONX,10454,"06,07,08",6,8,No,0.903,,0.9,0.35,0.87,Meeting Target,0.87,Meeting Target,0.81,Meeting Target,0.8,Approaching Target,0.79,Approaching Target,0.88,Meeting Target,Meeting Target,2.18,2.13
213,,,,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,320700010296,07X296,7,40.818906,-73.905333,"778 FOREST AVE BRONX, NY 10456",BRONX,10456,"06,07,08",6,8,No,0.908,,0.89,0.38,0.78,Approaching Target,0.75,Approaching Target,0.82,Approaching Target,0.71,Approaching Target,0.71,Not Meeting Target,0.83,Approaching Target,Approaching Target,2.13,2.04
214,,,,ACADEMY OF PUBLIC RELATIONS,320700010298,07X298,7,40.818906,-73.905333,"778 FOREST AVE BRONX, NY 10456",BRONX,10456,"06,07,08",6,8,No,0.882,,0.9,0.37,0.82,Meeting Target,0.92,Meeting Target,0.75,Approaching Target,0.92,Exceeding Target,0.75,Approaching Target,0.91,Meeting Target,Meeting Target,2.14,1.97
217,,,,YOUNG LEADERS ELEMENTARY SCHOOL,320700010369,07X369,7,40.809216,-73.920032,"468 E 140TH ST BRONX, NY 10454",BRONX,10454,"PK,0K,01,02,03,04,05",PK,5,No,0.923,23020.7,0.92,0.3,0.75,Not Meeting Target,0.86,Meeting Target,0.83,Approaching Target,0.81,Meeting Target,0.88,Meeting Target,0.9,Meeting Target,Approaching Target,1.97,2.04
219,,,,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,320700011551,07X551,7,40.81366,-73.925999,"339 MORRIS AVE BRONX, NY 10451",BRONX,10451,"06,07,08,09,10,11,12,SE",6,12,No,0.882,,0.9,0.33,0.8,Approaching Target,0.79,Approaching Target,0.76,Meeting Target,0.72,Approaching Target,0.77,Approaching Target,0.83,Approaching Target,Approaching Target,2.08,2.06
222,,,,P.S. 048 JOSEPH R. DRAKE,320800010048,08X048,8,40.814228,-73.886889,"1290 SPOFFORD AVE BRONX, NY 10474",BRONX,10474,"PK,0K,01,02,03,04,05",PK,5,No,0.922,27859.91,0.92,0.31,0.88,Meeting Target,0.84,Meeting Target,0.86,Meeting Target,0.68,Approaching Target,0.77,Not Meeting Target,0.84,Approaching Target,Meeting Target,2.1,2.18
231,,,,P.S. 107,320800010107,08X107,8,40.818887,-73.868609,"1695 SEWARD AVE BRONX, NY 10473",BRONX,10473,"PK,0K,01,02,03,04,05",PK,5,No,0.913,27853.77,0.9,0.43,0.95,Meeting Target,0.93,Meeting Target,0.92,Meeting Target,0.84,Meeting Target,0.83,Approaching Target,0.92,Meeting Target,Meeting Target,2.21,2.24
233,,,,J.H.S. 123 JAMES M. KIERAN,320800010123,08X123,8,40.824884,-73.873517,"1025 MORRISON AVE BRONX, NY 10472",BRONX,10472,"06,07,08",6,8,Yes,0.876,,0.91,0.28,0.67,Not Meeting Target,0.64,Not Meeting Target,0.78,Approaching Target,0.53,Not Meeting Target,0.71,Approaching Target,0.69,Not Meeting Target,Approaching Target,2.15,1.98
235,,,,P.S. 130 ABRAM STEVENS HEWITT,320800010130,08X130,8,40.817778,-73.901831,"750 PROSPECT AVE BRONX, NY 10455",BRONX,10455,"PK,0K,01,02,03,04,05",PK,5,No,0.872,24977.29,0.92,0.27,0.95,Meeting Target,0.92,Meeting Target,0.93,Meeting Target,0.85,Meeting Target,0.86,Meeting Target,0.95,Exceeding Target,Meeting Target,2.07,2.22
236,,,,J.H.S. 131 ALBERT EINSTEIN,320800010131,08X131,8,40.823319,-73.860062,"885 BOLTON AVE BRONX, NY 10473",BRONX,10473,"06,07,08",6,8,No,0.812,,0.91,0.34,0.79,Approaching Target,0.9,Exceeding Target,0.78,Approaching Target,0.84,Meeting Target,0.74,Approaching Target,0.87,Approaching Target,Meeting Target,2.24,2.07
242,,,,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,320800011269,08X269,8,40.820398,-73.892938,"928 SIMPSON ST BRONX, NY 10459",BRONX,10459,"06,07,08,09,10,11,12",6,12,Yes,0.853,,0.92,0.29,0.81,Approaching Target,0.84,Meeting Target,0.79,Approaching Target,0.82,Meeting Target,0.75,Approaching Target,0.91,Meeting Target,Meeting Target,2.24,2.15
243,,,,M.S. 301 PAUL L. DUNBAR,320800010301,08X301,8,40.822303,-73.906686,"890 CAULDWELL AVE BRONX, NY 10456",BRONX,10456,"06,07,08",6,8,Yes,0.823,,0.88,0.45,0.84,Approaching Target,0.89,Meeting Target,0.87,Approaching Target,0.85,Meeting Target,0.8,Meeting Target,0.92,Meeting Target,Approaching Target,1.97,1.95
244,,,,M.S. 302 LUISA DESSUS CRUZ,320800010302,08X302,8,40.815971,-73.901686,"681 KELLY ST BRONX, NY 10455",BRONX,10455,"06,07,08",6,8,No,0.906,,0.87,0.48,0.82,Approaching Target,0.84,Meeting Target,0.95,Meeting Target,0.76,Approaching Target,0.77,Approaching Target,0.92,Meeting Target,Meeting Target,2.22,2.17
246,,,,P.S. 333 - THE MUSEUM SCHOOL,320800010333,08X333,8,40.820082,-73.898647,"888 REV J A POLITE AVE BRONX, NY 10459",BRONX,10459,"PK,0K,01,02,03",PK,3,No,0.915,26448.84,0.89,0.46,0.89,Approaching Target,0.8,Approaching Target,0.91,Approaching Target,0.62,Not Meeting Target,0.78,Approaching Target,0.85,Approaching Target,Meeting Target,2.22,2.21
251,,,,THE BRONX MATHEMATICS PREPARATORY SCHOOL,320800010375,08X375,8,40.815017,-73.856018,"456 WHITE PLAINS RD BRONX, NY 10473",BRONX,10473,"06,07,08",6,8,Yes,0.818,,0.89,0.4,0.79,Not Meeting Target,0.75,Not Meeting Target,0.79,Approaching Target,0.65,Not Meeting Target,0.76,Approaching Target,0.81,Approaching Target,Approaching Target,2.17,2.01
253,,,,THE HUNTS POINT SCHOOL,320800010424,08X424,8,40.815594,-73.885238,"730 BRYANT AVE BRONX, NY 10474",BRONX,10474,"06,07,08",6,8,Yes,0.876,,0.9,0.35,0.83,Approaching Target,0.74,Not Meeting Target,0.83,Approaching Target,0.73,Approaching Target,0.82,Meeting Target,0.86,Meeting Target,Meeting Target,2.11,2.02
256,,,,BLUEPRINT MIDDLE SCHOOL,320800010562,08X562,8,40.829108,-73.85691,"1111 PUGLSEY AVE BRONX, NY 10472",BRONX,10472,"06,07,08",6,8,No,0.796,,0.92,0.29,0.93,Meeting Target,0.95,Meeting Target,0.8,Approaching Target,0.93,Exceeding Target,0.79,Meeting Target,0.91,Meeting Target,Approaching Target,2.23,2.17
259,,,,J.H.S. 022 JORDAN L. MOTT,320900010022,09X022,9,40.832278,-73.914142,"270 E 167TH ST BRONX, NY 10456",BRONX,10456,"05,06,07,08",5,8,Yes,0.877,,0.9,0.34,0.85,Approaching Target,0.82,Meeting Target,0.82,Approaching Target,0.76,Approaching Target,0.77,Approaching Target,0.88,Meeting Target,Approaching Target,2.05,1.91
262,,,,P.S. 042 CLAREMONT,320900010042,09X042,9,40.838559,-73.903026,"1537 WASHINGTON AVE BRONX, NY 10456",BRONX,10456,"PK,0K,01,02,03,04,05",PK,5,Yes,0.935,24249.23,0.9,0.37,0.88,Approaching Target,0.91,Exceeding Target,0.86,Approaching Target,0.88,Exceeding Target,0.9,Meeting Target,0.93,Meeting Target,Meeting Target,2.18,2.25
264,,,,P.S. 055 BENJAMIN FRANKLIN,320900010055,09X055,9,40.835973,-73.904838,"450 ST PAUL'S PL BRONX, NY 10456",BRONX,10456,"PK,0K,01,02,03,04,05",PK,5,Yes,0.939,19445.65,0.92,0.28,0.86,Approaching Target,0.78,Approaching Target,0.83,Approaching Target,0.74,Approaching Target,0.81,Approaching Target,0.9,Meeting Target,Approaching Target,2.04,2.15
